Sexo;Federación;Comunidad autónoma;periodo;Total
TOTAL;TOTAL;Comunitat Valenciana;2021;350.856
TOTAL;TOTAL;Comunitat Valenciana;2020;344.437
TOTAL;TOTAL;Comunitat Valenciana;2019;371.591
TOTAL;TOTAL;Comunitat Valenciana;2018;401.209
TOTAL;TOTAL;Comunitat Valenciana;2017;395.973
TOTAL;TOTAL;Comunitat Valenciana;2016;382.684
TOTAL;TOTAL;Comunitat Valenciana;2015;363.154
TOTAL;TOTAL;Comunitat Valenciana;2014;347.140
TOTAL;TOTAL;Comunitat Valenciana;2013;341.744
TOTAL;TOTAL;Comunitat Valenciana;2012;342.850
TOTAL;TOTAL;Comunitat Valenciana;2011;352.838
TOTAL;TOTAL;Comunitat Valenciana;2010;352.142
TOTAL;TOTAL;Comunitat Valenciana;2009;355.508
TOTAL;TOTAL;Extremadura;2024;119.161
TOTAL;TOTAL;Extremadura;2023;116.723
TOTAL;TOTAL;Extremadura;2022;112.379
TOTAL;TOTAL;Extremadura;2021;97.241
TOTAL;TOTAL;Extremadura;2020;110.411
TOTAL;TOTAL;Extremadura;2019;111.360
TOTAL;TOTAL;Extremadura;2018;93.129
TOTAL;TOTAL;Extremadura;2017;89.731
TOTAL;TOTAL;Extremadura;2016;87.787
TOTAL;TOTAL;Extremadura;2015;81.740
TOTAL;TOTAL;Extremadura;2014;73.562
TOTAL;TOTAL;Extremadura;2013;75.753
TOTAL;TOTAL;Extremadura;2012;83.662
TOTAL;TOTAL;Extremadura;2011;82.556
TOTAL;TOTAL;Extremadura;2010;83.978
TOTAL;TOTAL;Extremadura;2009;82.649
TOTAL;TOTAL;Galicia;2024;301.028
TOTAL;TOTAL;Galicia;2023;310.552
TOTAL;TOTAL;Galicia;2022;297.052
TOTAL;TOTAL;Galicia;2021;248.766
TOTAL;TOTAL;Galicia;2020;281.202
TOTAL;TOTAL;Galicia;2019;282.232
TOTAL;TOTAL;Galicia;2018;286.304
TOTAL;TOTAL;Galicia;2017;250.489
TOTAL;TOTAL;Galicia;2016;224.570
TOTAL;TOTAL;Galicia;2015;215.236
TOTAL;TOTAL;Galicia;2014;205.138
TOTAL;TOTAL;Galicia;2013;196.962
TOTAL;TOTAL;Galicia;2012;219.669
TOTAL;TOTAL;Galicia;2011;218.155
TOTAL;TOTAL;Galicia;2010;213.420
TOTAL;TOTAL;Galicia;2009;187.304
TOTAL;TOTAL;Madrid, Comunidad de;2024;599.882
