Sexo;Federación;Comunidad autónoma;periodo;Total
Hombres;Hockey;Andalucía;2024;728
Hombres;Hockey;Andalucía;2023;797
Hombres;Hockey;Andalucía;2022;817
Hombres;Hockey;Andalucía;2021;633
Hombres;Hockey;Andalucía;2020;666
Hombres;Hockey;Andalucía;2019;628
Hombres;Hockey;Andalucía;2018;661
Hombres;Hockey;Andalucía;2017;520
Hombres;Hockey;Andalucía;2016;608
Hombres;Hockey;Andalucía;2015;603
Hombres;Hockey;Andalucía;2014;526
Hombres;Hockey;Andalucía;2013;850
Hombres;Hockey;Andalucía;2012;871
Hombres;Hockey;Andalucía;2011;420
Hombres;Hockey;Andalucía;2010;416
Hombres;Hockey;Andalucía;2009;399
Hombres;Hockey;Aragón;2024;121
Hombres;Hockey;Aragón;2023;150
Hombres;Hockey;Aragón;2022;259
Hombres;Hockey;Aragón;2021;268
Hombres;Hockey;Aragón;2020;115
Hombres;Hockey;Aragón;2019;268
Hombres;Hockey;Aragón;2018;120
Hombres;Hockey;Aragón;2017;201
Hombres;Hockey;Aragón;2016;89
Hombres;Hockey;Aragón;2015;97
Hombres;Hockey;Aragón;2014;98
Hombres;Hockey;Aragón;2013;90
Hombres;Hockey;Aragón;2012;289
Hombres;Hockey;Aragón;2011;87
Hombres;Hockey;Aragón;2010;257
Hombres;Hockey;Aragón;2009;93
Hombres;Hockey;Asturias, Principado de;2024;271
Hombres;Hockey;Asturias, Principado de;2023;296
Hombres;Hockey;Asturias, Principado de;2022;293
Hombres;Hockey;Asturias, Principado de;2021;309
Hombres;Hockey;Asturias, Principado de;2020;336
Hombres;Hockey;Asturias, Principado de;2019;400
Hombres;Hockey;Asturias, Principado de;2018;274
Hombres;Hockey;Asturias, Principado de;2017;226
Hombres;Hockey;Asturias, Principado de;2016;192
Hombres;Hockey;Asturias, Principado de;2015;144
Hombres;Hockey;Asturias, Principado de;2014;135
Hombres;Hockey;Asturias, Principado de;2013;153
Hombres;Hockey;Asturias, Principado de;2012;134
Hombres;Hockey;Asturias, Principado de;2011;140
Hombres;Hockey;Asturias, Principado de;2010;135
Hombres;Hockey;Asturias, Principado de;2009;154
Hombres;Hockey;Balears, Illes;2024;108
Hombres;Hockey;Balears, Illes;2023;96
Hombres;Hockey;Balears, Illes;2022;87
Hombres;Hockey;Balears, Illes;2021;125
Hombres;Hockey;Balears, Illes;2020;37
Hombres;Hockey;Balears, Illes;2019;36
Hombres;Hockey;Balears, Illes;2018;15
Hombres;Hockey;Balears, Illes;2017;0
Hombres;Hockey;Balears, Illes;2016;0
Hombres;Hockey;Balears, Illes;2015;0
Hombres;Hockey;Balears, Illes;2014;0
Hombres;Hockey;Balears, Illes;2013;0
Hombres;Hockey;Balears, Illes;2012;0
Hombres;Hockey;Balears, Illes;2011;0
Hombres;Hockey;Balears, Illes;2010;0
Hombres;Hockey;Balears, Illes;2009;10
Hombres;Hockey;Canarias;2024;181
Hombres;Hockey;Canarias;2023;239
Hombres;Hockey;Canarias;2022;205
Hombres;Hockey;Canarias;2021;187
Hombres;Hockey;Canarias;2020;199
Hombres;Hockey;Canarias;2019;216
Hombres;Hockey;Canarias;2018;243
Hombres;Hockey;Canarias;2017;254
Hombres;Hockey;Canarias;2016;256
Hombres;Hockey;Canarias;2015;270
Hombres;Hockey;Canarias;2014;232
Hombres;Hockey;Canarias;2013;245
Hombres;Hockey;Canarias;2012;314
Hombres;Hockey;Canarias;2011;348
Hombres;Hockey;Canarias;2010;408
Hombres;Hockey;Canarias;2009;410
Hombres;Hockey;Cantabria;2024;394
Hombres;Hockey;Cantabria;2023;508
Hombres;Hockey;Cantabria;2022;471
Hombres;Hockey;Cantabria;2021;364
Hombres;Hockey;Cantabria;2020;473
Hombres;Hockey;Cantabria;2019;402
Hombres;Hockey;Cantabria;2018;464
Hombres;Hockey;Cantabria;2017;432
Hombres;Hockey;Cantabria;2016;325
Hombres;Hockey;Cantabria;2015;408
Hombres;Hockey;Cantabria;2014;359
Hombres;Hockey;Cantabria;2013;433
Hombres;Hockey;Cantabria;2012;404
Hombres;Hockey;Cantabria;2011;288
Hombres;Hockey;Cantabria;2010;234
Hombres;Hockey;Cantabria;2009;223
Hombres;Hockey;Castilla y León;2024;14
Hombres;Hockey;Castilla y León;2023;17
Hombres;Hockey;Castilla y León;2022;30
Hombres;Hockey;Castilla y León;2021;29
Hombres;Hockey;Castilla y León;2020;45
Hombres;Hockey;Castilla y León;2019;45
Hombres;Hockey;Castilla y León;2018;39
Hombres;Hockey;Castilla y León;2017;44
Hombres;Hockey;Castilla y León;2016;52
Hombres;Hockey;Castilla y León;2015;60
Hombres;Hockey;Castilla y León;2014;85
Hombres;Hockey;Castilla y León;2013;87
Hombres;Hockey;Castilla y León;2012;35
Hombres;Hockey;Castilla y León;2011;55
Hombres;Hockey;Castilla y León;2010;46
Hombres;Hockey;Castilla y León;2009;52
Hombres;Hockey;Castilla-La Mancha;2024;0
Hombres;Hockey;Castilla-La Mancha;2023;0
Hombres;Hockey;Castilla-La Mancha;2022;0
Hombres;Hockey;Castilla-La Mancha;2021;0
Hombres;Hockey;Castilla-La Mancha;2020;0
Hombres;Hockey;Castilla-La Mancha;2019;5
Hombres;Hockey;Castilla-La Mancha;2018;0
Hombres;Hockey;Castilla-La Mancha;2017;20
Hombres;Hockey;Castilla-La Mancha;2016;32
Hombres;Hockey;Castilla-La Mancha;2015;113
Hombres;Hockey;Castilla-La Mancha;2014;197
Hombres;Hockey;Castilla-La Mancha;2013;242
Hombres;Hockey;Castilla-La Mancha;2012;0
Hombres;Hockey;Castilla-La Mancha;2011;23
Hombres;Hockey;Castilla-La Mancha;2010;306
Hombres;Hockey;Castilla-La Mancha;2009;44
Hombres;Hockey;Cataluña;2024;3.601
Hombres;Hockey;Cataluña;2023;3.512
Hombres;Hockey;Cataluña;2022;3.480
Hombres;Hockey;Cataluña;2021;3.270
Hombres;Hockey;Cataluña;2020;3.310
Hombres;Hockey;Cataluña;2019;3.337
Hombres;Hockey;Cataluña;2018;3.269
Hombres;Hockey;Cataluña;2017;3.167
Hombres;Hockey;Cataluña;2016;3.207
Hombres;Hockey;Cataluña;2015;2.872
Hombres;Hockey;Cataluña;2014;2.739
Hombres;Hockey;Cataluña;2013;2.510
Hombres;Hockey;Cataluña;2012;2.127
Hombres;Hockey;Cataluña;2011;2.150
Hombres;Hockey;Cataluña;2010;2.147
Hombres;Hockey;Cataluña;2009;2.206
Hombres;Hockey;Comunitat Valenciana;2024;979
Hombres;Hockey;Comunitat Valenciana;2023;852
Hombres;Hockey;Comunitat Valenciana;2022;784
Hombres;Hockey;Comunitat Valenciana;2021;718
Hombres;Hockey;Comunitat Valenciana;2020;788
Hombres;Hockey;Comunitat Valenciana;2019;777
Hombres;Hockey;Comunitat Valenciana;2018;778
Hombres;Hockey;Comunitat Valenciana;2017;772
Hombres;Hockey;Comunitat Valenciana;2016;650
Hombres;Hockey;Comunitat Valenciana;2015;510
Hombres;Hockey;Comunitat Valenciana;2014;565
Hombres;Hockey;Comunitat Valenciana;2013;573
Hombres;Hockey;Comunitat Valenciana;2012;524
Hombres;Hockey;Comunitat Valenciana;2011;600
Hombres;Hockey;Comunitat Valenciana;2010;963
Hombres;Hockey;Comunitat Valenciana;2009;625
Hombres;Hockey;Extremadura;2024;0
Hombres;Hockey;Extremadura;2023;0
Hombres;Hockey;Extremadura;2022;0
Hombres;Hockey;Extremadura;2021;0
Hombres;Hockey;Extremadura;2020;0
Hombres;Hockey;Extremadura;2019;0
Hombres;Hockey;Extremadura;2018;0
Hombres;Hockey;Extremadura;2017;0
Hombres;Hockey;Extremadura;2016;0
Hombres;Hockey;Extremadura;2015;0
Hombres;Hockey;Extremadura;2014;0
Hombres;Hockey;Extremadura;2013;0
Hombres;Hockey;Extremadura;2012;0
Hombres;Hockey;Extremadura;2011;0
Hombres;Hockey;Extremadura;2010;0
Hombres;Hockey;Extremadura;2009;1
Hombres;Hockey;Galicia;2024;443
Hombres;Hockey;Galicia;2023;510
Hombres;Hockey;Galicia;2022;518
Hombres;Hockey;Galicia;2021;470
Hombres;Hockey;Galicia;2020;458
Hombres;Hockey;Galicia;2019;488
Hombres;Hockey;Galicia;2018;480
Hombres;Hockey;Galicia;2017;429
Hombres;Hockey;Galicia;2016;404
Hombres;Hockey;Galicia;2015;750
Hombres;Hockey;Galicia;2014;749
Hombres;Hockey;Galicia;2013;441
Hombres;Hockey;Galicia;2012;399
Hombres;Hockey;Galicia;2011;546
Hombres;Hockey;Galicia;2010;568
Hombres;Hockey;Galicia;2009;696
Hombres;Hockey;Madrid, Comunidad de;2024;1.523
Hombres;Hockey;Madrid, Comunidad de;2023;1.606
Hombres;Hockey;Madrid, Comunidad de;2022;1.647
Hombres;Hockey;Madrid, Comunidad de;2021;1.485
Hombres;Hockey;Madrid, Comunidad de;2020;1.537
Hombres;Hockey;Madrid, Comunidad de;2019;1.537
Hombres;Hockey;Madrid, Comunidad de;2018;1.595
Hombres;Hockey;Madrid, Comunidad de;2017;1.323
Hombres;Hockey;Madrid, Comunidad de;2016;1.324
Hombres;Hockey;Madrid, Comunidad de;2015;1.049
Hombres;Hockey;Madrid, Comunidad de;2014;988
Hombres;Hockey;Madrid, Comunidad de;2013;1.047
Hombres;Hockey;Madrid, Comunidad de;2012;917
Hombres;Hockey;Madrid, Comunidad de;2011;1.295
Hombres;Hockey;Madrid, Comunidad de;2010;1.285
Hombres;Hockey;Madrid, Comunidad de;2009;1.320
Hombres;Hockey;Murcia, Región de;2024;113
Hombres;Hockey;Murcia, Región de;2023;111
Hombres;Hockey;Murcia, Región de;2022;147
Hombres;Hockey;Murcia, Región de;2021;117
Hombres;Hockey;Murcia, Región de;2020;141
Hombres;Hockey;Murcia, Región de;2019;178
Hombres;Hockey;Murcia, Región de;2018;138
Hombres;Hockey;Murcia, Región de;2017;99
Hombres;Hockey;Murcia, Región de;2016;111
Hombres;Hockey;Murcia, Región de;2015;88
Hombres;Hockey;Murcia, Región de;2014;117
Hombres;Hockey;Murcia, Región de;2013;124
Hombres;Hockey;Murcia, Región de;2012;46
Hombres;Hockey;Murcia, Región de;2011;137
Hombres;Hockey;Murcia, Región de;2010;111
Hombres;Hockey;Murcia, Región de;2009;98
Hombres;Hockey;Navarra, Comunidad Foral de;2024;0
Hombres;Hockey;Navarra, Comunidad Foral de;2023;0
Hombres;Hockey;Navarra, Comunidad Foral de;2022;0
Hombres;Hockey;Navarra, Comunidad Foral de;2021;0
Hombres;Hockey;Navarra, Comunidad Foral de;2020;0
Hombres;Hockey;Navarra, Comunidad Foral de;2019;0
Hombres;Hockey;Navarra, Comunidad Foral de;2018;0
Hombres;Hockey;Navarra, Comunidad Foral de;2017;0
Hombres;Hockey;Navarra, Comunidad Foral de;2016;0
Hombres;Hockey;Navarra, Comunidad Foral de;2015;0
Hombres;Hockey;Navarra, Comunidad Foral de;2014;0
Hombres;Hockey;Navarra, Comunidad Foral de;2013;0
Hombres;Hockey;Navarra, Comunidad Foral de;2012;0
Hombres;Hockey;Navarra, Comunidad Foral de;2011;15
Hombres;Hockey;Navarra, Comunidad Foral de;2010;21
Hombres;Hockey;Navarra, Comunidad Foral de;2009;23
Hombres;Hockey;País Vasco;2024;432
Hombres;Hockey;País Vasco;2023;576
Hombres;Hockey;País Vasco;2022;624
Hombres;Hockey;País Vasco;2021;594
Hombres;Hockey;País Vasco;2020;1.318
Hombres;Hockey;País Vasco;2019;1.126
Hombres;Hockey;País Vasco;2018;1.471
Hombres;Hockey;País Vasco;2017;1.420
Hombres;Hockey;País Vasco;2016;1.400
Hombres;Hockey;País Vasco;2015;1.183
Hombres;Hockey;País Vasco;2014;1.386
Hombres;Hockey;País Vasco;2013;680
Hombres;Hockey;País Vasco;2012;679
Hombres;Hockey;País Vasco;2011;451
Hombres;Hockey;País Vasco;2010;456
Hombres;Hockey;País Vasco;2009;487
Hombres;Hockey;Rioja, La;2024;0
Hombres;Hockey;Rioja, La;2023;0
Hombres;Hockey;Rioja, La;2022;0
Hombres;Hockey;Rioja, La;2021;0
Hombres;Hockey;Rioja, La;2020;0
Hombres;Hockey;Rioja, La;2019;0
Hombres;Hockey;Rioja, La;2018;0
Hombres;Hockey;Rioja, La;2017;0
Hombres;Hockey;Rioja, La;2016;0
Hombres;Hockey;Rioja, La;2015;0
Hombres;Hockey;Rioja, La;2014;0
Hombres;Hockey;Rioja, La;2013;0
Hombres;Hockey;Rioja, La;2012;0
Hombres;Hockey;Rioja, La;2011;0
Hombres;Hockey;Rioja, La;2010;0
Hombres;Hockey;Rioja, La;2009;1
Hombres;Hockey;Ceuta;2024;0
Hombres;Hockey;Ceuta;2023;0
Hombres;Hockey;Ceuta;2022;0
Hombres;Hockey;Ceuta;2021;0
Hombres;Hockey;Ceuta;2020;0
Hombres;Hockey;Ceuta;2019;0
Hombres;Hockey;Ceuta;2018;0
Hombres;Hockey;Ceuta;2017;0
Hombres;Hockey;Ceuta;2016;0
Hombres;Hockey;Ceuta;2015;0
Hombres;Hockey;Ceuta;2014;0
Hombres;Hockey;Ceuta;2013;0
Hombres;Hockey;Ceuta;2012;0
Hombres;Hockey;Ceuta;2011;0
Hombres;Hockey;Ceuta;2010;0
Hombres;Hockey;Ceuta;2009;0
Hombres;Hockey;Melilla;2024;0
Hombres;Hockey;Melilla;2023;0
Hombres;Hockey;Melilla;2022;0
Hombres;Hockey;Melilla;2021;0
Hombres;Hockey;Melilla;2020;0
Hombres;Hockey;Melilla;2019;0
Hombres;Hockey;Melilla;2018;0
Hombres;Hockey;Melilla;2017;0
Hombres;Hockey;Melilla;2016;0
Hombres;Hockey;Melilla;2015;0
Hombres;Hockey;Melilla;2014;0
Hombres;Hockey;Melilla;2013;0
Hombres;Hockey;Melilla;2012;0
Hombres;Hockey;Melilla;2011;0
Hombres;Hockey;Melilla;2010;0
Hombres;Hockey;Melilla;2009;0
Hombres;Hockey;Sin territorializar;2024;0
Hombres;Hockey;Sin territorializar;2023;0
Hombres;Hockey;Sin territorializar;2022;0
Hombres;Hockey;Sin territorializar;2021;0
Hombres;Hockey;Sin territorializar;2020;0
Hombres;Hockey;Sin territorializar;2019;0
Hombres;Hockey;Sin territorializar;2018;0
Hombres;Hockey;Sin territorializar;2017;0
Hombres;Hockey;Sin territorializar;2016;0
Hombres;Hockey;Sin territorializar;2015;0
Hombres;Hockey;Sin territorializar;2014;0
Hombres;Hockey;Sin territorializar;2013;0
Hombres;Hockey;Sin territorializar;2012;0
Hombres;Hockey;Sin territorializar;2011;0
Hombres;Hockey;Sin territorializar;2010;0
Hombres;Hockey;Sin territorializar;2009;0
Hombres;Judo;TOTAL;2024;60.640
Hombres;Judo;TOTAL;2023;70.977
Hombres;Judo;TOTAL;2022;73.141
Hombres;Judo;TOTAL;2021;44.675
Hombres;Judo;TOTAL;2020;76.322
Hombres;Judo;TOTAL;2019;85.009
Hombres;Judo;TOTAL;2018;83.977
Hombres;Judo;TOTAL;2017;84.137
Hombres;Judo;TOTAL;2016;83.829
Hombres;Judo;TOTAL;2015;83.945
Hombres;Judo;TOTAL;2014;83.525
Hombres;Judo;TOTAL;2013;85.334
Hombres;Judo;TOTAL;2012;85.808
Hombres;Judo;TOTAL;2011;86.587
Hombres;Judo;TOTAL;2010;86.230
Hombres;Judo;TOTAL;2009;86.820
Hombres;Judo;Andalucía;2024;3.473
Hombres;Judo;Andalucía;2023;3.633
Hombres;Judo;Andalucía;2022;4.533
Hombres;Judo;Andalucía;2021;2.828
Hombres;Judo;Andalucía;2020;5.118
Hombres;Judo;Andalucía;2019;5.701
Hombres;Judo;Andalucía;2018;5.683
Hombres;Judo;Andalucía;2017;5.690
Hombres;Judo;Andalucía;2016;5.671
Hombres;Judo;Andalucía;2015;5.625
Hombres;Judo;Andalucía;2014;5.603
Hombres;Judo;Andalucía;2013;5.697
Hombres;Judo;Andalucía;2012;5.701
Hombres;Judo;Andalucía;2011;5.809
Hombres;Judo;Andalucía;2010;5.798
Hombres;Judo;Andalucía;2009;5.804
Hombres;Judo;Aragón;2024;2.709
Hombres;Judo;Aragón;2023;2.284
Hombres;Judo;Aragón;2022;1.055
Hombres;Judo;Aragón;2021;2.393
Hombres;Judo;Aragón;2020;2.478
Hombres;Judo;Aragón;2019;2.760
Hombres;Judo;Aragón;2018;2.724
Hombres;Judo;Aragón;2017;2.721
Hombres;Judo;Aragón;2016;2.712
Hombres;Judo;Aragón;2015;2.695
Hombres;Judo;Aragón;2014;2.687
Hombres;Judo;Aragón;2013;2.726
Hombres;Judo;Aragón;2012;2.704
Hombres;Judo;Aragón;2011;2.731
Hombres;Judo;Aragón;2010;2.717
Hombres;Judo;Aragón;2009;2.715
Hombres;Judo;Asturias, Principado de;2024;1.846
Hombres;Judo;Asturias, Principado de;2023;2.042
Hombres;Judo;Asturias, Principado de;2022;2.526
Hombres;Judo;Asturias, Principado de;2021;1.870
Hombres;Judo;Asturias, Principado de;2020;3.223
Hombres;Judo;Asturias, Principado de;2019;3.590
Hombres;Judo;Asturias, Principado de;2018;3.539
Hombres;Judo;Asturias, Principado de;2017;3.533
Hombres;Judo;Asturias, Principado de;2016;3.528
Hombres;Judo;Asturias, Principado de;2015;3.540
Hombres;Judo;Asturias, Principado de;2014;3.503
Hombres;Judo;Asturias, Principado de;2013;3.683
Hombres;Judo;Asturias, Principado de;2012;3.695
Hombres;Judo;Asturias, Principado de;2011;3.702
Hombres;Judo;Asturias, Principado de;2010;3.699
Hombres;Judo;Asturias, Principado de;2009;3.719
Hombres;Judo;Balears, Illes;2024;2.036
Hombres;Judo;Balears, Illes;2023;2.353
Hombres;Judo;Balears, Illes;2022;2.793
Hombres;Judo;Balears, Illes;2021;2.307
Hombres;Judo;Balears, Illes;2020;3.070
Hombres;Judo;Balears, Illes;2019;3.419
Hombres;Judo;Balears, Illes;2018;3.401
Hombres;Judo;Balears, Illes;2017;3.392
Hombres;Judo;Balears, Illes;2016;3.387
Hombres;Judo;Balears, Illes;2015;3.403
Hombres;Judo;Balears, Illes;2014;3.398
Hombres;Judo;Balears, Illes;2013;3.586
Hombres;Judo;Balears, Illes;2012;3.589
Hombres;Judo;Balears, Illes;2011;3.670
Hombres;Judo;Balears, Illes;2010;3.659
Hombres;Judo;Balears, Illes;2009;3.681
Hombres;Judo;Canarias;2024;3.335
Hombres;Judo;Canarias;2023;3.881
Hombres;Judo;Canarias;2022;4.549
Hombres;Judo;Canarias;2021;3.420
Hombres;Judo;Canarias;2020;4.007
Hombres;Judo;Canarias;2019;4.463
Hombres;Judo;Canarias;2018;4.402
Hombres;Judo;Canarias;2017;4.396
Hombres;Judo;Canarias;2016;4.398
Hombres;Judo;Canarias;2015;4.327
Hombres;Judo;Canarias;2014;4.295
Hombres;Judo;Canarias;2013;4.402
Hombres;Judo;Canarias;2012;4.397
Hombres;Judo;Canarias;2011;4.402
Hombres;Judo;Canarias;2010;4.309
Hombres;Judo;Canarias;2009;4.315
Hombres;Judo;Cantabria;2024;1.300
Hombres;Judo;Cantabria;2023;1.287
Hombres;Judo;Cantabria;2022;1.578
Hombres;Judo;Cantabria;2021;366
Hombres;Judo;Cantabria;2020;984
Hombres;Judo;Cantabria;2019;1.096
Hombres;Judo;Cantabria;2018;1.055
Hombres;Judo;Cantabria;2017;1.056
Hombres;Judo;Cantabria;2016;1.059
Hombres;Judo;Cantabria;2015;1.020
Hombres;Judo;Cantabria;2014;1.015
Hombres;Judo;Cantabria;2013;1.109
Hombres;Judo;Cantabria;2012;1.115
Hombres;Judo;Cantabria;2011;1.127
Hombres;Judo;Cantabria;2010;1.138
Hombres;Judo;Cantabria;2009;1.137
Hombres;Judo;Castilla y León;2024;2.718
Hombres;Judo;Castilla y León;2023;3.285
Hombres;Judo;Castilla y León;2022;3.628
Hombres;Judo;Castilla y León;2021;1.781
Hombres;Judo;Castilla y León;2020;4.032
Hombres;Judo;Castilla y León;2019;4.491
Hombres;Judo;Castilla y León;2018;4.435
Hombres;Judo;Castilla y León;2017;4.430
Hombres;Judo;Castilla y León;2016;4.426
Hombres;Judo;Castilla y León;2015;4.420
Hombres;Judo;Castilla y León;2014;4.403
Hombres;Judo;Castilla y León;2013;4.594
Hombres;Judo;Castilla y León;2012;4.579
Hombres;Judo;Castilla y León;2011;4.629
Hombres;Judo;Castilla y León;2010;4.725
Hombres;Judo;Castilla y León;2009;4.715
Hombres;Judo;Castilla-La Mancha;2024;1.425
Hombres;Judo;Castilla-La Mancha;2023;1.744
Hombres;Judo;Castilla-La Mancha;2022;1.958
Hombres;Judo;Castilla-La Mancha;2021;1.073
Hombres;Judo;Castilla-La Mancha;2020;3.505
Hombres;Judo;Castilla-La Mancha;2019;3.904
Hombres;Judo;Castilla-La Mancha;2018;3.805
Hombres;Judo;Castilla-La Mancha;2017;3.801
Hombres;Judo;Castilla-La Mancha;2016;3.797
Hombres;Judo;Castilla-La Mancha;2015;3.813
Hombres;Judo;Castilla-La Mancha;2014;3.797
Hombres;Judo;Castilla-La Mancha;2013;3.906
Hombres;Judo;Castilla-La Mancha;2012;3.897
Hombres;Judo;Castilla-La Mancha;2011;3.966
Hombres;Judo;Castilla-La Mancha;2010;3.815
Hombres;Judo;Castilla-La Mancha;2009;3.822
Hombres;Judo;Cataluña;2024;3.485
Hombres;Judo;Cataluña;2023;6.329
Hombres;Judo;Cataluña;2022;6.487
Hombres;Judo;Cataluña;2021;2.369
Hombres;Judo;Cataluña;2020;8.307
Hombres;Judo;Cataluña;2019;9.253
Hombres;Judo;Cataluña;2018;9.132
Hombres;Judo;Cataluña;2017;9.127
Hombres;Judo;Cataluña;2016;9.124
Hombres;Judo;Cataluña;2015;10.019
Hombres;Judo;Cataluña;2014;9.982
Hombres;Judo;Cataluña;2013;10.107
Hombres;Judo;Cataluña;2012;10.095
Hombres;Judo;Cataluña;2011;10.103
Hombres;Judo;Cataluña;2010;10.016
Hombres;Judo;Cataluña;2009;10.027
Hombres;Judo;Comunitat Valenciana;2024;5.727
Hombres;Judo;Comunitat Valenciana;2023;4.151
Hombres;Judo;Comunitat Valenciana;2022;3.100
Hombres;Judo;Comunitat Valenciana;2021;3.339
Hombres;Judo;Comunitat Valenciana;2020;3.869
Hombres;Judo;Comunitat Valenciana;2019;4.309
Hombres;Judo;Comunitat Valenciana;2018;4.203
Hombres;Judo;Comunitat Valenciana;2017;4.205
Hombres;Judo;Comunitat Valenciana;2016;4.126
Hombres;Judo;Comunitat Valenciana;2015;4.068
Hombres;Judo;Comunitat Valenciana;2014;4.015
Hombres;Judo;Comunitat Valenciana;2013;4.020
Hombres;Judo;Comunitat Valenciana;2012;3.989
Hombres;Judo;Comunitat Valenciana;2011;4.015
Hombres;Judo;Comunitat Valenciana;2010;3.995
Hombres;Judo;Comunitat Valenciana;2009;4.473
Hombres;Judo;Extremadura;2024;1.077
Hombres;Judo;Extremadura;2023;1.466
Hombres;Judo;Extremadura;2022;1.594
Hombres;Judo;Extremadura;2021;836
Hombres;Judo;Extremadura;2020;1.040
Hombres;Judo;Extremadura;2019;1.158
Hombres;Judo;Extremadura;2018;1.132
Hombres;Judo;Extremadura;2017;1.128
Hombres;Judo;Extremadura;2016;1.129
Hombres;Judo;Extremadura;2015;1.102
Hombres;Judo;Extremadura;2014;1.095
Hombres;Judo;Extremadura;2013;1.175
Hombres;Judo;Extremadura;2012;1.777
Hombres;Judo;Extremadura;2011;1.803
Hombres;Judo;Extremadura;2010;1.795
Hombres;Judo;Extremadura;2009;1.815
Hombres;Judo;Galicia;2024;4.909
Hombres;Judo;Galicia;2023;5.731
Hombres;Judo;Galicia;2022;6.130
Hombres;Judo;Galicia;2021;1.490
Hombres;Judo;Galicia;2020;6.208
Hombres;Judo;Galicia;2019;6.915
Hombres;Judo;Galicia;2018;6.892
Hombres;Judo;Galicia;2017;6.857
Hombres;Judo;Galicia;2016;6.826
Hombres;Judo;Galicia;2015;3.721
Hombres;Judo;Galicia;2014;3.697
Hombres;Judo;Galicia;2013;3.811
Hombres;Judo;Galicia;2012;3.791
Hombres;Judo;Galicia;2011;3.809
Hombres;Judo;Galicia;2010;3.740
Hombres;Judo;Galicia;2009;3.730
Hombres;Judo;Madrid, Comunidad de;2024;21.664
Hombres;Judo;Madrid, Comunidad de;2023;26.079
Hombres;Judo;Madrid, Comunidad de;2022;24.974
Hombres;Judo;Madrid, Comunidad de;2021;15.607
Hombres;Judo;Madrid, Comunidad de;2020;21.195
Hombres;Judo;Madrid, Comunidad de;2019;23.608
Hombres;Judo;Madrid, Comunidad de;2018;23.402
Hombres;Judo;Madrid, Comunidad de;2017;23.391
Hombres;Judo;Madrid, Comunidad de;2016;23.253
Hombres;Judo;Madrid, Comunidad de;2015;26.024
Hombres;Judo;Madrid, Comunidad de;2014;25.997
Hombres;Judo;Madrid, Comunidad de;2013;26.009
Hombres;Judo;Madrid, Comunidad de;2012;25.989
Hombres;Judo;Madrid, Comunidad de;2011;26.107
Hombres;Judo;Madrid, Comunidad de;2010;26.099
Hombres;Judo;Madrid, Comunidad de;2009;26.102
Hombres;Judo;Murcia, Región de;2024;1.439
Hombres;Judo;Murcia, Región de;2023;1.642
Hombres;Judo;Murcia, Región de;2022;1.841
Hombres;Judo;Murcia, Región de;2021;1.448
Hombres;Judo;Murcia, Región de;2020;1.619
Hombres;Judo;Murcia, Región de;2019;1.803
Hombres;Judo;Murcia, Región de;2018;1.782
Hombres;Judo;Murcia, Región de;2017;1.780
Hombres;Judo;Murcia, Región de;2016;1.789
Hombres;Judo;Murcia, Región de;2015;1.607
Hombres;Judo;Murcia, Región de;2014;1.590
Hombres;Judo;Murcia, Región de;2013;1.658
Hombres;Judo;Murcia, Región de;2012;1.653
Hombres;Judo;Murcia, Región de;2011;1.709
Hombres;Judo;Murcia, Región de;2010;1.700
Hombres;Judo;Murcia, Región de;2009;1.715
Hombres;Judo;Navarra, Comunidad Foral de;2024;1.675
Hombres;Judo;Navarra, Comunidad Foral de;2023;2.293
Hombres;Judo;Navarra, Comunidad Foral de;2022;2.591
Hombres;Judo;Navarra, Comunidad Foral de;2021;1.812
Hombres;Judo;Navarra, Comunidad Foral de;2020;3.051
Hombres;Judo;Navarra, Comunidad Foral de;2019;3.398
Hombres;Judo;Navarra, Comunidad Foral de;2018;3.329
Hombres;Judo;Navarra, Comunidad Foral de;2017;3.320
Hombres;Judo;Navarra, Comunidad Foral de;2016;3.305
Hombres;Judo;Navarra, Comunidad Foral de;2015;3.298
Hombres;Judo;Navarra, Comunidad Foral de;2014;3.215
Hombres;Judo;Navarra, Comunidad Foral de;2013;3.303
Hombres;Judo;Navarra, Comunidad Foral de;2012;3.295
Hombres;Judo;Navarra, Comunidad Foral de;2011;3.308
Hombres;Judo;Navarra, Comunidad Foral de;2010;3.297
Hombres;Judo;Navarra, Comunidad Foral de;2009;3.315
Hombres;Judo;País Vasco;2024;1.314
Hombres;Judo;País Vasco;2023;2.120
Hombres;Judo;País Vasco;2022;2.962
Hombres;Judo;País Vasco;2021;1.297
Hombres;Judo;País Vasco;2020;3.413
Hombres;Judo;País Vasco;2019;3.801
Hombres;Judo;País Vasco;2018;3.741
Hombres;Judo;País Vasco;2017;3.738
Hombres;Judo;País Vasco;2016;3.726
Hombres;Judo;País Vasco;2015;3.705
Hombres;Judo;País Vasco;2014;3.691
Hombres;Judo;País Vasco;2013;3.796
Hombres;Judo;País Vasco;2012;3.783
Hombres;Judo;País Vasco;2011;3.802
Hombres;Judo;País Vasco;2010;3.725
Hombres;Judo;País Vasco;2009;3.720
Hombres;Judo;Rioja, La;2024;347
Hombres;Judo;Rioja, La;2023;453
Hombres;Judo;Rioja, La;2022;550
Hombres;Judo;Rioja, La;2021;388
Hombres;Judo;Rioja, La;2020;938
Hombres;Judo;Rioja, La;2019;1.045
